Name,ISIN,Symbol,Branche
adidas,DE000A1EWWW0,ADS,Konsumgüter
Airbus,NL0000235190,AIR,Transport / Verkehr
Allianz,DE0008404005,ALV,Finanzsektor
BASF,DE000BASF111,BAS,Chemie / Pharma
Bayer,DE000BAY0017,BAYN,Chemie / Pharma
Beiersdorf,DE0005200000,BEI,Konsumgüter
BMW,DE0005190003,BMW,Kraftfahrzeugindustrie
Brenntag,DE000A1DAHH0,BNR,Chemie
Continental,DE0005439004,CON,Kraftfahrzeugindustrie
Covestro,DE0006062144,1COV,Industrie
Delivery Hero,DE000A2E4K43,DHER,Informationstechnologie
Deutsche Bank,DE0005140008,DBK,Finanzsektor
Deutsche Börse,DE0005810055,DB1,Finanzsektor
Deutsche Post,DE0005552004,DPW,Transport / Verkehr
Deutsche Telekom,DE0005557508,DTE,Telekommunikation
E.ON,DE000ENAG999,EOAN,Versorger
Fresenius,DE0005785604,FME,Chemie / Pharma
Fresenius Medical Care,DE0005785802,FRE,Chemie / Pharma
HeidelbergCement,DE0006047004,HEI,Bauindustrie
HelloFresh,DE000A161408,HFG,Dienstleistungen
Henkel vz.,DE0006048432,HEN3,Konsumgüter
Infineon,DE0006231004,IFX,Technologie
Linde,IE00BZ12WP82,LIN,Chemie / Pharma
Mercedes-Benz Group (ex Daimler),DE0007100000,MBG,Kraftfahrzeugindustrie
Merck,DE0006599905,MRK,Chemie / Pharma
MTU Aero Engines,DE000A0D9PT0,MTX,Transport / Verkehr
Münchener Rückversicherungs-Gesellschaft,DE0008430026,MUV2,Finanzsektor
Porsche,DE000PAH0038,PAH3,Kraftfahrzeugindustrie
PUMA,DE0006969603,PUM,Konsumgüter
QIAGEN,NL0012169213,QGEN,Chemie / Pharma
RWE,DE0007037129,RWE,Energie / Versorger
SAP,DE0007164600,SAP,Software
Sartorius vz.,DE0007165631,SRT3,Chemie / Pharma
Siemens,DE0007236101,SIE,Industrie
Siemens Energy,DE000ENER6Y0,ENR,Energie / Rohstoffe
Siemens Healthineers,DE000SHL1006,SHL,Chemie / Pharma
Symrise,DE000SYM9999,SY1,Chemie / Pharma
Volkswagen (VW) vz.,DE0007664039,VOW3,Kraftfahrzeugindustrie
Vonovia,DE000A1ML7J1,VNA,Immobilien
Zalando,DE000ZAL1111,ZAL,Informationstechnologie
