episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
0.0,-132.14285714285714,6.304342860267276,-132.86659458705358,0.0,
1.0,-138.57142857142858,4.5934124901181175,-56.696847098214285,0.0,
2.0,-127.14285714285714,4.3692064058213,-56.93431454613095,0.0,
3.0,-122.85714285714286,4.033244916370937,-47.23213123139881,0.0,
4.0,-124.28571428571429,4.488077629180181,-74.48893229166667,0.0,
5.0,-135.71428571428572,4.512712035860334,-66.0907970610119,0.0,
6.0,-116.42857142857143,2.902991283507574,-17.20120820545015,0.0,
7.0,-119.28571428571429,4.045349779583159,-36.144403366815474,0.0,
8.0,-121.42857142857143,4.164934975760324,-50.78862072172619,0.0,
9.0,-140.0,3.608527796609061,-48.661295572916664,0.0,-127.78571428571429
10.0,-138.57142857142858,3.2648470515296575,-46.234619140625,0.0,-128.42857142857144
11.0,-140.71428571428572,4.023097197214763,-42.767432803199405,0.0,-128.64285714285714
12.0,-133.57142857142858,3.4957791850680398,-47.78532191685268,0.0,-129.28571428571428
13.0,-126.42857142857143,4.492565313975017,-72.76828148251488,0.0,-129.64285714285714
14.0,-146.42857142857142,3.130757377261207,-37.49070521763393,0.0,-131.85714285714286
15.0,-103.57142857142857,4.29622727348691,-52.12526157924107,0.0,-128.64285714285714
16.0,-126.42857142857143,3.7362103916349865,-0.9586529504685175,0.0,-129.64285714285717
17.0,-116.42857142857143,3.4395047482990084,-20.563194638206845,0.0,-129.35714285714286
18.0,-137.85714285714286,3.874682891936529,-29.599600655691965,0.0,-131.0
19.0,-131.42857142857142,3.6387000310988653,-41.034586588541664,0.0,-130.14285714285714
20.0,-125.0,3.932560443878174,-61.35365513392857,0.0,-128.78571428571428
21.0,-125.0,3.025457109723772,-26.270205543154763,0.0,-127.21428571428571
22.0,-128.57142857142858,3.1740394092741466,-19.842193603515625,0.0,-126.71428571428571
23.0,-128.57142857142858,4.164901472273327,-55.017909458705354,0.0,-126.92857142857144
24.0,-101.42857142857143,3.9625104722522555,-49.42706589471726,0.0,-122.42857142857142
25.0,-128.57142857142858,3.779192947206043,-46.984776088169646,0.0,-124.92857142857144
26.0,-130.0,4.489165907814389,-70.46853492373512,0.0,-125.28571428571429
27.0,-147.14285714285714,3.945815290723528,-25.041178385416668,0.0,-128.35714285714286
